# CMIP6 definitive model list — source: WCRP-CMIP/CMIP6_CVs CMIP6_source_id.json (accessed 2026-06-22)
# Filter: activity_participation includes both CMIP (ran historical) AND ScenarioMIP (ran scenarios from historical branch)
# Excluded: radiation-transfer-only codes, ocean-only models, atmosphere-only HighResMIP entries, CMIP5-compat entries
# institution_id: from CMIP6_institution_id.json; multi-institution models use "+" separator
# Total: 64 models from 31 primary institutions
source_id,institution_id,label_extended,release_year,activity_participation,status
GFDL-CM4,NOAA-GFDL,GFDL-CM4,2018,CFMIP CMIP DAMIP DynVarMIP FAFMIP GMMIP OMIP RFMIP ScenarioMIP,to_research
GFDL-ESM4,NOAA-GFDL,GFDL-ESM4,2018,AerChemMIP C4MIP CDRMIP CMIP DAMIP DynVarMIP FAFMIP LUMIP RFMIP ScenarioMIP,to_research
GISS-E2-1-G,NASA-GISS,GISS-E2.1G,2019,AerChemMIP C4MIP CFMIP CMIP DAMIP DynVarMIP FAFMIP GMMIP ISMIP6 LS3MIP LUMIP OMIP PAMIP PMIP RFMIP SIMIP ScenarioMIP VIACSAB VolMIP,to_research
GISS-E2-1-G-CC,NASA-GISS,GISS-E2-1-G-CC,2019,C4MIP CMIP ScenarioMIP,to_research
GISS-E2-1-H,NASA-GISS,GISS-E2.1H,2019,AerChemMIP CFMIP CMIP OMIP PAMIP SIMIP ScenarioMIP,to_research
GISS-E2-2-G,NASA-GISS,GISS-E2-2-G,2019,AerChemMIP CFMIP CMIP DAMIP DynVarMIP FAFMIP GMMIP ISMIP6 LS3MIP LUMIP OMIP PAMIP PMIP RFMIP SIMIP ScenarioMIP VIACSAB VolMIP,to_research
GISS-E2-2-H,NASA-GISS,GISS-E2.2H,2021,CFMIP CMIP SIMIP ScenarioMIP,to_research
GISS-E3-G,NASA-GISS,GISS-E3-G,2020,AerChemMIP C4MIP CFMIP CMIP DAMIP DynVarMIP FAFMIP GMMIP ISMIP6 LS3MIP LUMIP OMIP PAMIP PMIP RFMIP SIMIP ScenarioMIP VIACSAB VolMIP,to_research
HadGEM3-GC31-LL,MOHC+NERC,HadGEM3-GC3.1-N96ORCA1,2016,CFMIP CMIP DAMIP FAFMIP HighResMIP LS3MIP LUMIP PMIP RFMIP ScenarioMIP,to_research
HadGEM3-GC31-MM,MOHC,HadGEM3-GC3.1-N216ORCA025,2016,CMIP DCPP GMMIP HighResMIP LS3MIP OMIP PAMIP ScenarioMIP,to_research
IITM-ESM,CCCR-IITM,IITM-ESM,2015,CMIP GMMIP ScenarioMIP,to_research
INM-CM4-8,INM,INM-CM4-8,2016,CMIP PMIP ScenarioMIP,to_research
INM-CM5-0,INM,INM-CM5-0,2016,CMIP ScenarioMIP,to_research
IPSL-CM6A-LR,IPSL,IPSL-CM6A-LR,2017,AerChemMIP C4MIP CDRMIP CFMIP CMIP DAMIP DCPP FAFMIP GMMIP GeoMIP HighResMIP LS3MIP LUMIP OMIP PAMIP PMIP RFMIP ScenarioMIP VolMIP,to_research
KACE-1-0-G,NIMS-KMA,KACE1.0-GLOMAP,2018,CMIP ScenarioMIP,to_research
KIOST-ESM,KIOST,KIOST Earth System Model v2,2018,C4MIP CMIP DynVarMIP PMIP ScenarioMIP,to_research
MCM-UA-1-0,UA,Manabe Climate Model v1.0 - University of Arizona,1991,CMIP FAFMIP PMIP ScenarioMIP,to_research
MIROC-ES2H,MIROC,MIROC-ES2H,2018,AerChemMIP C4MIP CMIP DynVarMIP GeoMIP ScenarioMIP VIACSAB,to_research
MIROC-ES2L,MIROC,MIROC-ES2L,2018,C4MIP CDRMIP CMIP DAMIP DynVarMIP GeoMIP LUMIP OMIP PMIP ScenarioMIP VIACSAB VolMIP,to_research
MIROC6,MIROC,MIROC6,2017,AerChemMIP CFMIP CMIP DAMIP DCPP DynVarMIP FAFMIP GMMIP HighResMIP LS3MIP OMIP PAMIP RFMIP SIMIP ScenarioMIP VIACSAB,to_research
MPI-ESM-1-2-HAM,HAMMOZ-Consortium,MPI-ESM1.2-HAM,2017,AerChemMIP CMIP RFMIP ScenarioMIP,to_research
MPI-ESM1-2-HR,MPI-M+DWD+DKRZ,MPI-ESM1.2-HR,2017,CMIP CORDEX DCPP DynVarMIP FAFMIP GeoMIP HighResMIP OMIP SIMIP ScenarioMIP VolMIP,to_research
MPI-ESM1-2-LR,MPI-M+AWI+DKRZ+DWD,MPI-ESM1.2-LR,2017,C4MIP CDRMIP CFMIP CMIP DAMIP DCPP DynVarMIP FAFMIP GMMIP GeoMIP ISMIP6 LS3MIP LUMIP OMIP PMIP RFMIP SIMIP ScenarioMIP VolMIP,to_research
MRI-ESM2-0,MRI,MRI-ESM2.0,2017,AerChemMIP C4MIP CFMIP CMIP CORDEX DAMIP DCPP DynVarMIP FAFMIP GMMIP GeoMIP LS3MIP OMIP PMIP RFMIP SIMIP ScenarioMIP VolMIP,to_research
NESM3,NUIST,NUIST ESM v3,2016,CMIP DAMIP DCPP GMMIP GeoMIP PMIP ScenarioMIP VolMIP,to_research
NorESM2-LM,NCC,NorESM2-LM (low atmosphere-medium ocean resolution  GHG concentration driven),2017,AerChemMIP C4MIP CDRMIP CFMIP CMIP DAMIP DCPP LUMIP OMIP PAMIP PMIP RFMIP ScenarioMIP VolMIP,to_research
NorESM2-MM,NCC,NorESM2-MM (medium atmosphere-medium ocean resolution  GHG concentration driven),2017,AerChemMIP CFMIP CMIP DAMIP OMIP RFMIP ScenarioMIP,to_research
SAM0-UNICON,SNU,SAM0-UNICON (SNU Atmosphere Model version 0 with Unified Convection Scheme),2017,CMIP ScenarioMIP,to_research
TaiESM1,AS-RCEC,Taiwan Earth System Model 1.0,2018,AerChemMIP CFMIP CMIP GMMIP LUMIP PAMIP PMIP RFMIP ScenarioMIP,to_research
UKESM1-0-LL,MOHC+NERC+NIMS-KMA+NIWA,UKESM1.0-N96ORCA1,2018,AerChemMIP C4MIP CDRMIP CMIP DAMIP GeoMIP LS3MIP LUMIP OMIP PMIP RFMIP ScenarioMIP VolMIP,to_research
UKESM1-1-LL,MOHC+NERC+NIMS-KMA+NIWA,UKESM1.1-N96ORCA1,2021,CMIP ScenarioMIP,to_research
